Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
47761,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3378,676,8,7,1000
48277,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3369,624,8,7,1000
48785,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3393,731,8,7,1000
49293,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3393,633,8,7,1000
49799,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3405,642,8,7,1000
50307,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3181,620,8,7,1000
50814,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3435,628,8,7,1000
51326,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3025,566,8,7,1000
51838,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3481,596,8,7,1000
52344,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3479,629,8,7,1000
52853,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3342,637,8,7,1000
53367,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3076,458,8,7,1000
53864,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3127,665,8,7,1000
54383,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3320,612,8,7,1000
54890,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3215,559,8,7,1000
55398,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3503,651,8,7,1000
55914,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3193,766,8,7,1000
56414,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3393,638,8,7,1000
56930,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3252,613,8,7,1000
57439,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3201,567,8,7,1000
57946,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3135,708,8,7,1000
58457,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3481,641,8,7,1000
58969,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3188,531,8,7,1000
59481,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3205,625,8,7,1000
59980,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3174,643,8,7,1000
60490,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3376,659,8,7,1000
61002,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3362,576,8,7,1000
61506,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3266,610,8,7,1000
62014,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3120,470,8,7,1000
62526,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3340,695,8,7,1000
63038,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3210,574,8,7,1000
63554,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3430,562,8,7,1000
64057,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3244,542,8,7,1000
64573,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3332,647,8,7,1000
65081,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3056,555,8,7,1000
65594,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3076,548,8,7,1000
66103,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3085,496,8,7,1000
66617,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3017,618,8,7,1000
67125,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2876,514,8,7,1000
67633,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3098,635,8,7,1000
68143,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3061,631,8,7,1000
68649,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3056,644,8,7,1000
69151,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3452,698,8,7,1000
69672,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,2981,617,8,7,1000
