Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
9396,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2351,570,8,7,500,1
9522,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2116,361,8,7,500,1
9633,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2856,115,8,7,500,1
9742,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2612,672,8,7,500,1
9852,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2575,688,8,7,500,1
9972,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2239,482,8,7,500,1
10086,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2575,741,8,7,500,1
10201,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1919,107,8,7,500,1
10323,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2824,693,8,7,500,1
10439,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2602,1008,8,7,500,1
10559,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1831,105,8,7,500,1
10670,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2671,29,8,4,500,1
10799,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1806,278,8,6,500,1
10932,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2620,579,8,7,500,1
11077,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1821,150,8,6,500,1
11155,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1811,53,8,7,500,1
11298,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2284,757,8,7,500,1
11455,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2095,396,8,7,500,1
11537,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2270,615,8,7,500,1
11688,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2436,486,8,7,500,1
11842,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2385,684,8,7,500,1
11960,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1880,74,8,7,500,1
